"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","h_action","a_action","score","block"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",20,"rock",1058,"rock",1155.26922290656,"tie","R","R",0,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",21,"rock",991,"scissors",902.561906525995,"human","R","S",1,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",22,"scissors",1029,"paper",1217.79256070781,"human","S","P",1,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",23,"paper",2539,"rock",2052.0506558846,"human","P","R",1,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",24,"paper",907,"scissors",2193.96791055018,"ai","P","S",-1,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",25,"paper",1262,"scissors",1127.15752705939,"ai","P","S",-1,1
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",26,"scissors",1154,"paper",2329.71550320487,"human","S","P",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",27,"scissors",1102,"rock",1133.85969336667,"ai","S","R",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",28,"rock",1239,"scissors",1777.98648830069,"human","R","S",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",29,"rock",994,"paper",2388.26680184157,"ai","R","P",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",30,"scissors",1408,"rock",2722.56017228594,"ai","S","R",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",31,"scissors",1153,"scissors",2823.1068936695,"tie","S","S",0,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",32,"scissors",1291,"paper",1291.22039432149,"human","S","P",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",33,"scissors",2597,"rock",1098.69627774483,"ai","S","R",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",34,"rock",2836,"scissors",2671.49635412034,"human","R","S",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",35,"rock",1129,"paper",1186.45134943956,"ai","R","P",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",36,"rock",1190,"rock",1117.11950249881,"tie","R","R",0,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",37,"paper",1261,"scissors",1120.07918297639,"ai","P","S",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",38,"scissors",1098,"paper",694.731385645503,"human","S","P",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",39,"scissors",841,"rock",2257.46727490713,"ai","S","R",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",40,"rock",971,"scissors",1820.71829479989,"human","R","S",1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",41,"rock",924,"paper",1863.13792702283,"ai","R","P",-1,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",42,"scissors",1180,"scissors",2506.58559140541,"tie","S","S",0,2
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",43,"scissors",1045,"paper",2305.36598703302,"human","S","P",1,2
