"id","condition","random_BIC","level1_1_theta","level1_1_BIC","level1_3_theta1","level1_3_theta2","level1_3_theta3","level1_3_BIC","level2_1_theta","level2_1_BIC","level2_3_theta1","level2_3_theta2","level2_3_theta3","level2_3_BIC","level3_1_theta","level3_1_BIC","level3_3_theta1","level3_3_theta2","level3_3_theta3","level3_3_BIC","WSLS_1_theta","WSLS_1_BIC","WSLS_3_theta1","WSLS_3_theta2","WSLS_3_theta3","WSLS_3_BIC"
"38VxtUSv_h6RR5-tAAA2","Level2",380.666248977032,0.0107728776178977,385.633999495826,0.173372020982472,2.42636770647189e-08,6.60341633924925e-19,392.881429851577,6.61069613518961e-05,385.68389301174,3.99460421460129e-19,8.44063177119423e-24,5.62404099165152e-20,395.698154859321,0.106443036364185,381.561516869423,0.0815444780980245,0.173492087370558,0.0815367126692722,391.028743647608,0.146722643870904,377.938351405815,0.204014269793965,0.112364318307236,0.13268236439285,387.534382035083
"oXdDF_U-Dft2ja2lAAAs","Level1",380.666248977032,6.61069613518961e-05,385.688387918089,5.62404099165032e-20,3.9946042146009e-19,8.44063177119423e-24,395.698154859321,0.624683156697886,250.839169428388,0.0817170310410296,0.8163617811842,0.897942561934713,213.222524759418,0.467583250857165,307.949248039951,1.65819125722784e-07,0.816247096682939,0.744894316024765,252.375842703718,6.61069613518961e-05,385.690635436801,4.47745712723465e-39,1.76308231527694e-17,9.2816313772193e-18,395.698154859321
"4HDD95eEc5uc6WGZAAB-","Level1",380.666248977032,6.61069613518961e-05,385.679530227561,1.62272877065543e-06,7.9748004074164e-06,0.0306506984912662,395.519929543198,0.192513071670306,372.710179229279,0.295694687634647,0.142961422256482,0.158153612076708,381.417357079816,0.0575391680992745,384.400139966403,0.111857767581604,3.91217690406681e-06,0.0817834013299898,393.28729657712,6.61069613518961e-05,385.692618580098,4.48233109852802e-47,1.3093279602425e-16,1.81716050556048e-18,395.698154859321
"QSuzBXpbyRc370HsAACW","Level2",380.666248977032,6.61069613518961e-05,385.683231876591,4.52145754941704e-29,8.17343945534075e-25,1.75352850313636e-18,395.698154859321,0.161228239353029,375.823434477328,0.14283775115795,0.0204430905210354,0.260160211911632,382.680938006379,0.290513196926665,355.547005214796,0.173437068532427,0.265408894000747,0.388004919979709,363.121740189335,0.0298952544651125,385.324923387075,2.99693441816643e-06,0.0202981546154585,0.0561618505531575,395.071186673312
"9M_yMJbCXl54gNUJAAAg","Level2",380.666248977032,6.61069613518961e-05,385.682967370102,0.142683272487414,7.63760921904221e-07,5.68967956751649e-07,393.775469983675,0.143535886217068,377.173246938775,4.07831102206047e-08,0.142676603312957,0.387713263610905,370.50062012925,0.351000607400334,341.65616996632,4.00222094920394e-08,0.632551693404919,0.515248605613288,319.614525325997,6.61069613518961e-05,385.679265589997,0.0814771127112798,2.05450822238105e-06,6.95010054103269e-07,395.060903903629
"SqFSft5pBSQvCRguAAB4","Level2",380.666248977032,6.61069613518961e-05,385.69526272747,1.81716050555956e-18,1.30932796024229e-16,4.48233109852789e-47,395.698154859321,0.739697255648007,208.613750539001,0.75512380715269,0.877603159721077,0.617330452489664,212.55678776707,0.816930904482512,166.558696507414,0.877562383683392,0.908137509141635,0.693853315092526,170.453177781623,6.61069613518961e-05,385.693015208758,1.30932796024227e-16,1.81716050555958e-18,4.48233109852789e-47,395.698154859321
"OMboMzdFXCbIT4xIAABY","Level1",380.666248977032,6.61069613518961e-05,385.685083028794,4.09661670891409e-09,3.09045319781052e-09,0.0306568381906905,395.519756806861,0.6267373531736,265.762713058612,0.877502611880616,0.846936981500292,0.26021270820252,241.796626433571,0.478659118333979,315.722519555617,0.693799055905623,0.69392627664709,0.158185985526271,302.950356096152,6.61069613518961e-05,385.683364523061,4.52401852105763e-07,1.53766462535401e-06,0.158276776598977,391.374885875371
"FeAZRu_9Hrcdjm_iAABo","Level1",380.666248977032,6.61069613518961e-05,385.680191624861,1.68464101328516e-06,3.4909964203584e-07,0.234555416387188,386.588885096867,0.308850302536517,356.202705405132,0.0817531368603365,0.938739755550758,0.0305537773908394,306.702960633759,0.27241244082537,364.422799021849,0.387721700162206,0.81646099720524,2.10241333901096e-07,319.113823500449,0.048472299841145,384.558064873598,5.66275366029211e-07,1.65525429989593e-09,0.362365444083745,375.195978107653
"h_7YPIjrawfjJTC9AACI","Level1",380.666248977032,6.61069613518961e-05,385.680058847316,0.0512785514165579,1.89363606811339e-06,1.23705744104623e-06,395.447166142112,0.0614105586762592,384.368256230424,0.142759954648163,0.173217067209922,2.95659116047572e-07,390.958672671907,6.61069613518961e-05,385.679397712167,1.10244646011488e-05,0.142979731430477,1.90273426131099e-08,393.775477588909,6.61069613518961e-05,385.682967370102,3.62135106210611e-13,2.8824248693801e-14,2.12498832732212e-22,395.698154859322
"7QnidGGKs1c6kKJoAAAI","Level2",380.666248977032,6.61069613518961e-05,385.68402513391,0.0205555275895616,2.24372505546313e-06,2.19300409129227e-06,395.657859321363,0.118236549859163,380.580892731957,7.43404186567419e-09,0.755218433027285,0.107116338980629,340.685033075002,0.38483129199076,336.504808821852,0.0203342946452767,0.816216983198927,0.336681536831942,314.852465351416,0.231188310092568,365.649072323819,0.540730233681243,4.82998386498509e-08,0.387712877308741,345.918165502667
"Awf0J1oiQuRs5911AAAS","Level2",380.666248977032,6.61069613518961e-05,385.692354073609,5.62404099165032e-20,3.9946042146009e-19,8.44063177119423e-24,395.698154859321,0.753873987975451,192.773720055424,0.357118804299869,0.938781926998339,0.923491544913308,169.056394874911,0.772855770916296,182.354771001361,0.326433902147085,0.999999996844037,0.948992161911198,142.818141841714,6.61069613518961e-05,385.692750702268,5.62404099165032e-20,3.9946042146009e-19,8.44063177119423e-24,395.698154859321
"O5H_fl6X-WZWz26DAABu","Level2",380.666248977032,0.0773163474977258,383.390461498235,4.10579900018009e-06,0.112026759175271,0.10719840355003,392.448749694494,6.61069613518961e-05,385.682438488197,1.32878122841949e-05,0.0512536545978091,1.655790352084e-06,395.447538206609,7.7893847067765e-05,385.677353763702,0.081798077426661,0.0816607379689729,6.03787953832216e-08,394.423543038039,0.142868858388529,378.737546125575,0.173381718650606,0.29607197376631,0.0307097588107036,384.668435697153
"2NHwNgPzjWxDBriwAAAU","Level2",380.666248977032,0.028652382362813,385.367062474117,0.0510770936898063,0.0509980783535751,0.00504287497321319,395.190919904203,6.61069613518961e-05,385.686140268302,2.34944709735172e-15,4.06643641370106e-19,3.18920932753424e-26,395.698154859321,0.0253719578188351,385.427104995251,0.0508597816659184,6.85794916978027e-07,0.0306736567402363,395.26868058654,0.417747386241807,323.989824439644,0.142800327184979,0.418446562424332,0.6174061696274,322.117124924076
"2ZmOL0OjH5Uwt3DCAACm","Level1",380.666248977032,6.61069613518961e-05,385.683496252006,5.62404099165112e-20,8.44063177119411e-24,3.994604214603e-19,395.698154859321,0.11328503319115,380.898881160072,0.0816097852568261,0.112301942276198,0.132557805697602,390.772789153247,0.00850786822942766,385.651436359521,1.24642966297347e-08,0.234575029169335,6.73585996153381e-16,390.599524968459,6.61069613518961e-05,385.683231876591,5.62404099165032e-20,3.9946042146009e-19,8.44063177119423e-24,395.698154859321
"7uLGzocWjI2W7oj0AAAq","Level1",380.666248977032,6.61069613518961e-05,385.690635436801,4.48233109852802e-47,1.81716050556043e-18,1.30932796024259e-16,395.698154859321,0.449959692772118,323.40872346688,0.694042912613716,0.60195109211875,0.15822480507521,314.216706463269,0.363214883955696,344.259796747628,0.724482729834,0.326394000488384,0.132654046638304,334.408062767286,6.61069613518961e-05,385.691693069535,4.47745712723465e-39,1.76308231527694e-17,9.2816313772193e-18,395.698154859321
