"id","condition","BIC_transfer","BIC_no_transfer","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer"
"hkwYQrDHoPaA4yMaAABg","Level2",383.471366546735,384.140885576391,0.223963737875811,0.264853234973448,0.852043279214991,0.857000399186256
"wuPP0rwjmFrZ1QlRAAAK","Level1",391.297773174613,391.10451224943,0.01,0.01,0.99,0.99
"HE1L_7f92p8RhgaIAAAc","Level2",390.100244169417,390.009609656567,0.01,0.01,0.94701352239116,0.921301044860255
"iDh62P2wg6ao1dSUAACk","Level2",390.98261956727,390.879195804023,0.99,0.99,0.99,0.99
"vuzUzEEiYLwXW9x9AAAO","Level1",388.312718950981,387.543220726144,0.0187341692867478,0.0561239603053712,0.899652225212897,0.886750473168899
"7UidQyU1y52UvfhMAACo","Level2",352.931792085006,357.094179240336,0.0102075049998414,0.0323060695381545,0.584952186058994,0.616289668176146
"E8kPvIi6RmunS_t2AAAu","Level2",326.130541518107,331.82983083957,0.0137542925366235,0.0367015311516284,0.493254312862692,0.515398199902094
"Hg433PNmJWz9FixvAACM","Level2",361.669724187297,362.422043603421,0.0237516966269469,0.0493689096742971,0.674819459622172,0.66498751611558
"zPmO4kt4wkjme_W5AABq","Level2",388.893379700266,388.672515141659,0.202412193332467,0.160526287911653,0.929454536457251,0.921378986525771
"YKayqpSUklwV5pOWAABe","Level1",151.202876768852,147.082366230054,0.0207599153028828,0.0570036761807547,0.0738821017999058,0.0627411653939936
"06i_Cux84PGac8aqAAAA","Level2",390.887671731292,390.823053896473,0.01,0.01,0.99,0.99
"k-jbqaetGTrE-1e_AAAk","Level2",286.840843067891,286.851464207142,0.99,0.99,0.433803555919913,0.433816281587429
"c56kda3LQEpjIPm3AACE","Level2",312.824999012638,311.08772072477,0.132765839884759,0.0748075227247249,0.490140959668727,0.450020725231276
"62ksRmCUyOlOJWTQAAB2","Level2",214.764626332951,213.761559421219,0.025325552659939,0.143730688774142,0.202870220666803,0.239427130576528
"90EJZg_2bJ92R8vmAAAa","Level2",348.476621574421,349.739662223529,0.0798131106835381,0.200867258555649,0.612555491228228,0.618698883279836
"Nsa2geNpUZ9ulTlKAABG","Level1",331.806700531864,330.889633990128,0.99,0.99,0.593991857943085,0.588513128337574
"sgIt_KViZxGWuvbTAAB8","Level2",342.608241365972,335.982876246932,0.01,0.01,0.54633643934758,0.4580590251447
"eJ5xg-wBh5lN4PNyAABi","Level1",115.643046373708,102.154892888956,0.173598529373674,0.18112955932082,0.0898311716017317,0.0530056806912281
