human_previous,computer_previous,level0,level1,level2
W,W,W,G,F
W,G,G,G,W
W,F,F,G,G
G,W,W,F,F
G,G,G,F,W
G,F,F,F,G
F,W,W,W,F
F,G,G,W,W
F,F,F,W,G
